date;as;ad;c;g;i;xn;exp;imp;ipc;reer;m2;crisis;is_2009;is_2015;is_2020
2005 Q1;319108,900;332064,900;322708,700;38426,000;44545,500;-73615,300;131250,000;204865,300;1,013;106,410;137071,667;0;0;0;0
2005 Q2;477965,000;508088,600;376623,100;63005,800;146751,600;-78291,900;154991,000;233282,900;0,993;110,730;160142,667;0;0;0;0
2005 Q3;705748,000;723069,900;494989,700;64919,700;235046,100;-71885,600;183611,500;255497,100;0,983;104,210;186449,000;0;0;0;0
2005 Q4;740059,000;723593,700;495960,600;70294,500;256980,100;-99641,500;176304,000;275945,500;1,012;105,800;208277,000;0;0;0;0
2006 Q1;357200,300;352552,000;354091,900;44912,100;46542,900;-92994,900;120714,800;213709,700;1,009;107,750;208969,333;0;0;0;0
2006 Q2;590237,500;604827,600;437145,100;67210,800;204482,100;-104010,400;161342,200;265352,600;1,005;109,390;219377,000;0;0;0;0
2006 Q3;859153,700;870433,500;574377,100;72894,800;328841,300;-105679,700;167824,800;273504,500;0,994;115,650;257090,333;0;0;0;0
2006 Q4;849598,300;888306,900;550855,200;82999,000;373868,700;-119416,000;170577,200;289993,200;1,009;122,520;309539,333;0;0;0;0
2007 Q1;422193,700;420518,900;421676,100;55567,600;68932,700;-125657,500;121035,600;246693,100;1,007;128,530;337971,000;0;0;0;0
2007 Q2;682543,300;706827,200;517004,000;78289,000;242442,000;-130907,800;153857,300;284765,100;1,006;127,690;366455,000;0;0;0;0
2007 Q3;1028875,700;1005712,700;657076,900;93644,000;414526,000;-159534,200;169269,800;328804,000;0,987;125,540;435858,667;0;0;0;0
2007 Q4;1015670,700;1000791,300;656590,400;92881,800;463979,400;-212660,300;160047,600;372707,900;1,022;132,220;517286,333;0;0;0;0
2008 Q1;509579,100;492597,100;489961,000;65931,100;101025,400;-164320,400;111416,800;275737,200;1,016;135,740;541829,667;0;0;0;0
2008 Q2;784606,900;760546,400;579408,500;93363,100;293437,300;-205662,500;139426,500;345089,000;1,006;133,380;557417,000;0;0;0;0
2008 Q3;1249441,100;1222999,600;754022,200;99568,700;621457,700;-252049,000;157759,100;409808,100;0,992;132,790;597554,000;0;0;0;0
