date;as;ad;c;g;i;xn;exp;imp;crisis;is_2009;is_2015;is_2020
01.01.2000;937,1016;1031,5168;997,6416;121,7909;192,2784;-280,1941;241,0782;521,2723;0;0;0;0
01.01.2001;1030,2798;1182,6602;1064,4629;128,7180;225,3436;-235,8644;290,4723;526,3367;0;0;0;0
01.01.2002;1180,9954;1347,0965;1158,4973;130,5860;283,3090;-225,2958;383,8529;609,1487;0;0;0;0
01.01.2003;1353,7474;1484,1380;1237,1980;151,9994;361,2325;-266,2918;478,7952;745,0871;0;0;0;0
01.01.2004;1496,6276;1662,7486;1344,4783;166,1769;406,3917;-254,2983;485,7229;740,0211;0;0;0;0
01.01.2005;1744,6898;1946,2273;1438,5380;201,4009;581,5517;-275,2632;549,9204;825,1837;0;0;0;0
01.01.2006;2010,5711;2246,5840;1585,1690;221,6846;788,8627;-349,1323;513,2002;862,3325;0;0;0;0
01.01.2007;2245,4321;2483,2410;1784,7444;253,8688;942,8527;-498,2249;478,7720;976,9969;0;0;0;0
01.01.2008;2298,6521;2513,8315;1852,7839;265,2626;1059,8658;-664,0807;390,1998;1054,2805;1;1;0;0
01.01.2009;1975,4551;2223,3921;1771,0031;294,6485;765,9644;-608,2239;341,8803;950,1042;0;0;0;0
01.01.2010;1995,5018;2320,7365;1838,3971;293,8800;739,0137;-550,5544;468,3324;1018,8867;0;0;0;0
01.01.2011;2031,1538;2276,4208;1897,6881;294,7496;621,9963;-538,0132;541,6542;1079,6674;0;0;0;0
01.01.2012;2238,8161;2513,2684;2143,2360;273,6445;619,0494;-522,6616;691,3073;1213,9689;0;0;0;0
01.01.2013;2250,8116;2521,9228;2186,6573;302,2337;560,9713;-527,9394;718,0001;1245,9395;0;0;0;0
01.01.2014;2311,0045;2601,4988;2218,1587;314,9383;554,6025;-486,2008;744,2386;1230,4394;1;0;1;0
01.01.2015;2345,3861;2600,2389;2033,1362;344,0691;544,0020;-320,9685;780,0415;1101,0100;1;0;1;0
01.01.2016;2412,2256;2639,4700;2027,6442;359,7687;481,7407;-229,6836;902,3334;1132,0170;1;0;1;0
01.01.2017;2608,3690;2887,3590;2306,7793;358,1322;535,5677;-313,1201;1111,0393;1424,1594;0;0;0;0
01.01.2018;2740,9839;3048,2292;2428,7656;352,2723;686,9522;-419,7609;1208,0960;1627,8568;0;0;0;0
01.01.2019;2915,0391;3268,1780;2723,3769;413,3432;572,6979;-441,2400;1360,3399;1801,5799;0;0;0;0
01.01.2020;2736,5838;3054,3419;2298,5239;492,4291;551,1463;-287,7574;928,5675;1216,3249;1;0;0;1
